Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
LBR,-0.1181,0.5796,0.9994,0.236871623,Similar
ENAH,-0.124,0.3078,0.9994,0.511731385,Similar
SRP9,0.1704,0.3305,0.9994,0.480828536,Similar
LEFTY1,-0.01115,0.9752,0.9994,0.010906307,Similar
PYCR2,0.06615,0.7773,0.9994,0.109411332,Similar
C1orf55,-0.0359,0.7796,0.9994,0.10812817,Similar
ACBD3,-0.1172,0.6519,0.9994,0.185819019,Similar
LIN9,-0.1333,0.5539,0.9994,0.256568635,Similar
PARP1,-0.1523,0.4557,0.9994,0.341320971,Similar
C1orf95,0.1738,0.6392,0.9994,0.194363234,Similar
ITPKB,-0.04189,0.8424,0.9994,0.074481642,Similar
PSEN2,-0.243,0.4129,0.9994,0.384155117,Similar
CDC42BPA,-0.01724,0.9234,0.9994,0.03461013,Similar
ZNF678,-0.07012,0.7874,0.9994,0.10380459,Similar
LOC100130093,-0.03677,0.9108,0.9994,0.040576978,Similar
JMJD4,0.04706,0.8935,0.9994,0.048905443,Similar
SNAP47,0.1242,0.2075,0.9994,0.682981899,Similar
WNT9A,0.1421,0.7025,0.9994,0.153353671,Similar
WNT3A,-0.1479,0.685,0.9994,0.164309429,Similar
ARF1,-0.1388,0.6409,0.9994,0.193209728,Similar
C1orf35,0.05708,0.7137,0.9994,0.146484303,Similar
MRPL55,0.1558,0.2981,0.9994,0.525638024,Similar
GUK1,-0.006603,0.9711,0.9994,0.012736046,Similar
GJC2,0.1062,0.7706,0.9994,0.113170995,Similar
IBA57,-0.07906,0.5834,0.9994,0.234033575,Similar
OBSCN,0.2529,0.424,0.9994,0.372634143,Similar
TRIM11,-0.1198,0.5705,0.9994,0.243744351,Similar
TRIM17,-0.3023,0.3495,0.9994,0.45655282,Similar
RNF187,-0.1124,0.4448,0.9994,0.351835221,Similar
